"ledger_id","entity_type","entity_id","original_classification","canonical_disposition","source_presence","policy_or_decision","approval_status","active_in_preview","stable_identifier_preserved","provenance_preserved","recommended_action","evidence","remaining_decision"
"CDL-0014","observation","2026-07-13-mrjvnqpv","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0015","observation","2026-07-13-mrjvpi34","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0016","observation","2026-07-13-mrjvrhu1","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0017","observation","2026-07-13-mrjvsbsd","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0018","observation","2026-07-13-mrjvtdph","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0019","observation","2026-07-13-mrjvut2e","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0020","observation","2026-07-13-mrjvwl2h","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0021","observation","2026-07-13-mrjvydb7","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0022","observation","2026-07-13-mrjvyyvm","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0023","observation","2026-07-13-mrmmemqj","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0024","observation","2026-07-13-mrmor2tk","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0025","observation","2026-07-14-mrjy1kxl","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0026","observation","2026-07-14-mrjy2o1q","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0027","observation","2026-07-14-mrjy6cso","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0028","observation","2026-07-14-mrjy8qzr","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0029","observation","2026-07-14-mrmlqfvx","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0030","observation","2026-07-14-mrmmbbfd","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0031","observation","2026-07-16-709f8a29-9426-45c7-8dee-0f9e37fabe01","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0032","observation","2026-07-16-73e33b00-1c90-4738-9cbb-4a2f9ba1bca7","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0033","observation","2026-07-16-b4dbde92-142d-4035-99d9-eb3d0c7e1100","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0034","observation","2026-07-16-d065984b-5f19-4f64-8ead-9f2b3f0b6bc5","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0035","observation","2026-07-16-e1d273bc-f68b-4483-a228-71d53d403b39","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0036","observation","2026-07-16-e62c25eb-fc10-4c9a-9bf6-3e4f0aec01d3","RESTORE","KEEP","live_production|git_history|main|production_snapshot","baseline/existing","accepted baseline or no additional approval","yes","yes","yes","Restore the production/main record into the future candidate dataset without changing its ID.","sources=git_history|main|production_snapshot; variants=1; referenced_media_present_or_none",""
"CDL-0037","observation","2026-07-16-mrmulvpf","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0038","observation","2026-07-16-mrmunxz8","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0039","observation","2026-07-16-mrmuq2xt","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0040","observation","2026-07-16-mrmvm6ld","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0041","observation","2026-07-16-mro0d6ue","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0042","observation","2026-07-17-3d3491fb-20a7-41fb-95cf-4883d3231e1b","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0043","observation","2026-07-17-3fc7c311-0fba-4462-8928-64e84faf746a","MERGE","MERGE","git_history|release_archive_rc1","POL-08","disposition approved; exact fields pending","no","yes","yes","Compare field-level variants; preserve the stable ID and merge non-destructively after human review.","sources=git_history|release_archive_rc1; variants=2; referenced_media_present_or_none","Approve exact active values for conflicting fields."
"CDL-0044","observation","2026-07-17-564174fb-6e42-43be-8343-de4d2839bace","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0045","observation","2026-07-17-99c2adc9-ad48-41aa-8fd3-a1b818ab802e","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0046","observation","2026-07-17-de9ff3f1-0e55-40f7-9065-80d18e8eeec4","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0047","observation","2026-07-17-f16abe2b-32bc-48a9-ac8f-b3937a29062b","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0048","observation","2026-07-18-46f64ffe-5f34-40b9-9168-e15c81afcaf0","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0049","observation","2026-07-18-49d5db03-6fae-49ec-8012-a8dbe6aaf409","RESTORE","KEEP","live_production|git_history|main|production_snapshot","baseline/existing","accepted baseline or no additional approval","yes","yes","yes","Restore the production/main record into the future candidate dataset without changing its ID.","sources=git_history|main|production_snapshot; variants=1; referenced_media_present_or_none",""
"CDL-0050","observation","2026-07-18-5c162e1c-5a0c-4056-be3e-75df42674e2b","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0051","observation","2026-07-18-631b3667-2ef8-4386-9f10-8dc044e1d8bc","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0052","observation","2026-07-18-7616b09d-9e28-46f7-85cf-e4f4c29deb2c","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0053","observation","2026-07-18-9374b309-68c5-4729-a702-81b2309d8038","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0054","observation","2026-07-18-ba83f3eb-aa68-4f4e-931b-2243be1f8cf2","MERGE","MERGE","git_history","POL-08","disposition approved; exact fields pending","no","yes","yes","Compare field-level variants; preserve the stable ID and merge non-destructively after human review.","sources=git_history; variants=2; referenced_media_present_or_none","Approve exact active values for conflicting fields."
"CDL-0055","observation","2026-07-18-ce732b0c-f86d-4ffb-a1f8-20de09984b50","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0056","observation","2026-07-18-d5835b2f-070f-4f03-916a-9108fc4d5bdb","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0057","observation","2026-07-18-db065ce5-2e37-4ed2-91b2-e7c859b4a344","MERGE","MERGE","git_history","POL-08","disposition approved; exact fields pending","no","yes","yes","Compare field-level variants; preserve the stable ID and merge non-destructively after human review.","sources=git_history; variants=2; referenced_media_present_or_none","Approve exact active values for conflicting fields."
"CDL-0058","observation","2026-07-19-088c03bb-8d21-4d7d-8421-aea34746281f","KEEP","KEEP","git_history|local_beta|remote_beta|staging_snapshot|worktree","baseline/existing","accepted baseline or no additional approval","yes","yes","yes","Retain this record and its ID; validate links during reconciliation.","sources=git_history|local_beta|remote_beta|staging_snapshot|worktree; variants=1; referenced_media_present_or_none",""
"CDL-0059","observation","2026-07-19-363e08d7-ad24-4d25-a74f-c409ff84c813","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0060","observation","2026-07-19-dc4cd81a-e75d-42e7-9a2d-c573d043d7be","MERGE","MERGE","git_history|local_beta|remote_beta|staging_snapshot|worktree","POL-08","disposition approved; exact fields pending","no","yes","yes","Compare field-level variants; preserve the stable ID and merge non-destructively after human review.","sources=git_history|local_beta|remote_beta|staging_snapshot|worktree; variants=2; referenced_media_present_or_none","Approve exact active values for conflicting fields."
"CDL-0061","observation","2026-07-19-f5551322-1c76-4182-84b7-1a346f943025","KEEP","KEEP","git_history|local_beta|remote_beta|staging_snapshot|worktree","baseline/existing","accepted baseline or no additional approval","yes","yes","yes","Retain this record and its ID; validate links during reconciliation.","sources=git_history|local_beta|remote_beta|staging_snapshot|worktree; variants=1; referenced_media_present_or_none",""
"CDL-0062","observation","2026-07-19-ff30eb41-7e12-4171-9ed6-fabe04c8dde5","KEEP","KEEP","git_history|local_beta|remote_beta|staging_snapshot|worktree","baseline/existing","accepted baseline or no additional approval","yes","yes","yes","Retain this record and its ID; validate links during reconciliation.","sources=git_history|local_beta|remote_beta|staging_snapshot|worktree; variants=1; referenced_media_present_or_none",""
"CDL-0063","observation","2026-07-21-92011266-0d78-4c03-8986-7ed9e090e4b4","RESTORE","RESTORE","git_history|remote_beta","POL-06","policy approval pending","yes","yes","yes","Carry forward the recorded remote-beta record after staging review; preserve its ID.","sources=git_history|remote_beta; variants=1; missing_media=images/observations/2026/2026-07-21-92011266-0d78-4c03-8986-7ed9e090e4b4/garden-030f38a9-2cd3-4bc5-826f-5a136551235a-2.jpg|images/observations/2026/2026-07-21-92011266-0d78-4c03-8986-7ed9e090e4b4/garden-34dd2e94-42ea-4149-837d-7e6d5f7da2cf-7.jpg|images/observations/2026/2026-07-21-92011266-0d78-4c03-8986-7ed9e090e4b4/garden-7177b3e8-319a-4f8d-83b3-30574a66182b-4.jpg|images/observations/2026/2026-07-21-92011266-0d78-4c03-8986-7ed9e090e4b4/garden-8b22976d-7879-4f9b-94b9-996aa7a2d549-5.jpg|images/observations/2026/2026-07-21-92011266-0d78-4c03-8986-7ed9e090e4b4/garden-96b77f38-ab4b-4ba9-9190-622b7fe950f2-1.jpg|images/observations/2026/2026-07-21-92011266-0d78-4c03-8986-7ed9e090e4b4/garden-aa9c629a-3220-4b8c-8277-6543c3653a2b-3.jpg|images/observations/2026/2026-07-21-92011266-0d78-4c03-8986-7ed9e090e4b4/garden-f2bf660f-8bcf-4b8e-aa07-4d53382f75c7-6.jpg",""
"CDL-0064","observation","2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074","RESTORE","RESTORE","git_history|remote_beta","POL-06","policy approval pending","yes","yes","yes","Carry forward the recorded remote-beta record after staging review; preserve its ID.","sources=git_history|remote_beta; variants=1; missing_media=images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-01a31ae1-49b4-41a3-9e27-7b8e1df78576-6.jpg|images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-481a95eb-952c-415b-a9cc-b63d29f4a0f9-7.jpg|images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-6bf464d5-e8ad-4106-b824-f748e05743ac-4.jpg|images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-71490035-e770-43de-b78a-b122baaa68df-9.jpg|images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-bb2d2a92-503b-4fff-927e-e1ef2b4561aa-1.jpg|images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-befa0525-a58f-48ba-8b68-29611888254a-5.jpg|images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-c0e70664-add5-4c97-ac8d-fbf5a4216701-3.jpg|images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-d3356a09-0d2f-4205-ba71-713788f1cc2c-8.jpg|images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-d9994408-98e9-47b7-8972-8190b2547863-10.jpg|images/observations/2026/2026-07-21-de8aefa5-743d-49e0-b9fe-d08ed0bca074/garden-fad364a6-b156-48db-b89a-2165c032f827-2.jpg",""
"CDL-0065","modern_species","big-booty-judy","HUMAN_DECISION_REQUIRED","DEFER","git_history@3b2a4a34d0; git_history@dc1899e142; release_archive_rc1","POL-09 / DEC-2026-0006","deferred disposition approved","no","yes","yes","Preserve both records and decide whether the species record is a historical modeling error; do not rewrite either ID automatically.","variants=1; sources=git_history|release_archive_rc1","Activation remains deferred."
"CDL-0066","modern_species","broad-tailed-hummingbird","RESTORE","RESTORE","git_history@3b2a4a34d0; git_history@dc1899e142; release_archive_rc1","POL-07","policy approval pending","yes","yes","yes","Restore under the existing ID after confirming the most complete historical fields.","variants=1; sources=git_history|release_archive_rc1","Taxonomy field confirmation and POL-07 approval."
"CDL-0067","modern_species","large-bee-probable-carpenter-or-bumble-bee","KEEP","KEEP","git_history@21494c2aee; git_history@b83e2c1514; git_history@ce7f61e666; git_history@dc9ab03c57; git_history@e85e6ebe01; local_beta; remote_beta; staging_snapshot; worktree","existing","existing evidence record","yes","yes","yes","Retain the ID and record; validate observation and resident links.","variants=1; sources=git_history|local_beta|remote_beta|staging_snapshot|worktree",""
"CDL-0068","modern_species","leafcutter-bee","RESTORE","RESTORE","git_history@3b2a4a34d0; git_history@dc1899e142; release_archive_rc1","POL-07","policy approval pending","yes","yes","yes","Restore under the existing ID after confirming the most complete historical fields.","variants=1; sources=git_history|release_archive_rc1","Taxonomy field confirmation and POL-07 approval."
"CDL-0069","modern_species","leafcutter-bee-megachilidae","HUMAN_DECISION_REQUIRED","DEFER","git_history@3b2a4a34d0","POL-10 / DEC-2026-0007","deferred disposition approved","no","yes","yes","Retain in the evidence ledger pending taxonomy and release-history review.","variants=1; sources=git_history","Activation remains deferred."
"CDL-0070","modern_species","longhorn-beetle-or-similar-flower-visiting-beetle","KEEP","KEEP","git_history@21494c2aee; git_history@aa83df6d80; git_history@b83e2c1514; git_history@ce7f61e666; git_history@dc9ab03c57; git_history@e85e6ebe01; local_beta; remote_beta; staging_snapshot; worktree","existing","existing evidence record","yes","yes","yes","Retain the ID and record; validate observation and resident links.","variants=1; sources=git_history|local_beta|remote_beta|staging_snapshot|worktree",""
"CDL-0071","modern_species","small-bee-likely-a-native-solitary-bee-or-small-generalist-bee","KEEP","KEEP","git_history@21494c2aee; git_history@aa83df6d80; git_history@b83e2c1514; git_history@ce7f61e666; git_history@dc9ab03c57; git_history@e85e6ebe01; local_beta; remote_beta; staging_snapshot; worktree","existing","existing evidence record","yes","yes","yes","Retain the ID and record; validate observation and resident links.","variants=1; sources=git_history|local_beta|remote_beta|staging_snapshot|worktree",""
"CDL-0072","modern_species","thread-waisted-wasp-likely-genus-ammophila-or-related","KEEP","KEEP","git_history@21494c2aee; git_history@ce7f61e666; git_history@dc9ab03c57; local_beta; remote_beta; staging_snapshot; worktree","existing","existing evidence record","yes","yes","yes","Retain the ID and record; validate observation and resident links.","variants=1; sources=git_history|local_beta|remote_beta|staging_snapshot|worktree",""
"CDL-0073","modern_species","toad-unresolved","RESTORE","RESTORE","git_history@3b2a4a34d0; git_history@dc1899e142; release_archive_rc1","POL-07","policy approval pending","yes","yes","yes","Restore under the existing ID after confirming the most complete historical fields.","variants=1; sources=git_history|release_archive_rc1","Taxonomy field confirmation and POL-07 approval."
"CDL-0074","modern_species","white-lined-sphinx","RESTORE","RESTORE","git_history@3b2a4a34d0; git_history@dc1899e142; release_archive_rc1","POL-07","policy approval pending","yes","yes","yes","Restore under the existing ID after confirming the most complete historical fields.","variants=1; sources=git_history|release_archive_rc1","Taxonomy field confirmation and POL-07 approval."
"CDL-0075","named_resident","beth","MERGE","MERGE","live_production; main; local_beta; release_archive_rc1; remote_beta; worktree","resident mapping review","field review pending","baseline_only","yes","yes","Preserve production baseline and merge only approved additive fields.","variants=2; conflicting_fields=speciesId","Approve exact resident mapping field merge."
"CDL-0076","named_resident","brenda","MERGE","MERGE","live_production; main; local_beta; release_archive_rc1; remote_beta; worktree","resident mapping review","field review pending","baseline_only","yes","yes","Preserve production baseline and merge only approved additive fields.","variants=2; conflicting_fields=speciesId","Approve exact resident mapping field merge."
"CDL-0077","named_resident","little-head-todd","MERGE","MERGE","live_production; main; local_beta; release_archive_rc1; remote_beta; worktree","resident mapping review","field review pending","baseline_only","yes","yes","Preserve production baseline and merge only approved additive fields.","variants=2; conflicting_fields=speciesId","Approve exact resident mapping field merge."
"CDL-0078","named_resident","big-booty-judy","MERGE","MERGE","live_production; main; local_beta; release_archive_rc1; remote_beta; worktree","resident mapping review","field review pending","baseline_only","yes","yes","Preserve production baseline and merge only approved additive fields.","variants=2; conflicting_fields=speciesId","Approve exact resident mapping field merge."
"CDL-0079","plant","27","production_baseline","KEEP","live_production:data.js:window.PLANTS","accepted production baseline","accepted baseline","yes","yes","yes","Retain exact production record and stable plant number.","sha256=c3b6f96ee893a83b5e4f4e92afe4039d818b098eac17498f405415e3978992c9",""
